用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
XYGL_1,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_解密,"1.存在拥有学员管理模块权限账户admin/admin123/admin345
2.使用账号登陆系统","1.进入学员管理-基本信息页面，查看信息列表并点击查看和修改按钮
2.点击解密按钮
3.输入二级密码，点击确定
4.查看学员基本信息
5.点击查看按钮
6.点击修改按钮","1.学员姓名为加密状态，查看修改页面姓名为加密状态
2.弹出二级密码输入框
3.返回到基本信息页面
4.显示信息完整
5.查看页面姓名不加密
6.修改页面姓名不加密",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_2,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_界面检查,"1.存在拥有学员管理模块权限账户admin/admin123/admin345
2.使用账号登陆系统
3.进入学院管理-基本信息页面","1.查看界面
2.解密
3.查看界面","1.界面完整,显示数据正常
2.界面成功
3.界面完整,显示数据正常",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_3,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索全部条件默认,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:开发
最新状态:已休学
3.存在B信息
班级:WNCDC035
方向:开发
最新状态:已就业",1.查看学员基本信息,1.显示A信息和B信息,,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_4,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索_班级第一个方向公共最新状态未开班,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:公共
最新状态:未开班
3.存在B信息
班级:WNCDC035
方向:开发
最新状态:已就业","1.班级选择WNCDC035
2.方向选择开发
3.最新状态选择在校学习
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_5,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索班级最后一个方向开发最新状态在校学习,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC001
方向:开发
最新状态:在校学习
3.存在B信息
班级:WNCDC035
方向:开发
最新状态:已就业","1.班级选择WNCDC001
2.方向选择开发
3.最新状态选择在校学习
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_6,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索班级第一方向测试最新状态转就业,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:测试
最新状态:转就业
3.存在B信息
班级:WNCDC035
方向:开发
最新状态:已就业","1.班级选择第一个
2.方向选择测试
3.最新状态选择转就业
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息  ",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_7,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索班级第一个方向测试最新状态已就业,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:测试
最新状态:已就业
3.存在B信息
班级:WNCDC035
方向:测试
最新状态:转就业","1.班级选择第一个
2.方向选择测试
3.最新状态选择已就业
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息  ",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_8,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索_班级第一个方向测试最新状态已休学,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:测试
最新状态:已休学
3.存在B信息
班级:WNCDC035
方向:测试
最新状态:转就业","1.班级选择第一个
2.方向选择测试
3.最新状态选择已休学
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_9,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索_班级第一个方向测试最新状态已失联,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:测试
最新状态:已失联
3.存在B信息
班级:WNCDC035
方向:测试
最新状态:转就业","1.班级选择第一个
2.方向选择测试
3.最新状态选择已失联
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_10,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索_班级第一个方向测试最新状态已退学,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
班级：WNCDC035
方向:测试
最新状态:已退学
3.存在B信息
班级:WNCDC035
方向:测试
最新状态:转就业","1.班级选择第一个
2.方向选择测试
3.最新状态选择已退学
4.查看学员基本信息","1.班级选择成功
2.方向选择成功
3.最新动态选择成功
4.显示A信息",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_11,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索姓名,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
姓名：天天
学号：WNCD201805039
班级:WNCDC035
方向:测试
最新状态:转就业
3.存在B信息
姓名：想想
学号：WNCD201805034
班级:WNCDC035
方向:测试
最新状态:转就业
4.存在C信息
姓名：天天
学号：WNCD201805033
班级:WNCDC035
方向:测试
最新状态:转就业
","1.输入姓名天天
2.点击搜索按钮","1.姓名输入成功
2.显示A信息C信息",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
XYGL_12,woniuboss2.5_yang(#4),/学员管理(#58),,WB2.5_基本信息_搜索学号,"1.教学主管账号登陆_进入学员管理_解密_进入基本信息
2.存在A信息
姓名：天天
学号：WNCD201805039
班级:WNCDC035
方向:测试
最新状态:转就业
3.存在B信息
姓名：想想
学号：WNCD201805034
班级:WNCDC035
方向:测试
最新状态:转就业
4.存在C信息
姓名：天天
学号：WNCD201805033
班级:WNCDC035
方向:测试
最新状态:转就业
","1.输入学号WNCD201805039
2.点击搜索按钮","1.学号输入成功
2.显示A信息",,,1,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,43960,,0000-00-00,1,
